programme_code,programme_name,difficulty,weight,question,option_A,option_B,option_C,option_D,answer_letter,answer_text
CCP,Climate Change Programme (CCP),Hard,2,"What is a key benefit of the ""Amar Bon"" project?",It improves biodiversity and soil fertility,It reduces the number of pests in agriculture,It increases urban development,It reduces the need for irrigation,A,It improves biodiversity and soil fertility
CCP,Climate Change Programme (CCP),Hard,2,"Which of the following is a technique promoted by the ""Adaptation Clinic""?",Genetic modification of crops,Regenerative farming practices,Urban agriculture,Traditional crop rotation,B,Regenerative farming practices
CCP,Climate Change Programme (CCP),Hard,2,"What type of weather-related information does the ""Adaptation Clinic"" provide to farmers?",Early weather forecasts and climate data,Urban development plans,National economic forecasts,Tourism statistics,A,Early weather forecasts and climate data
CCP,Climate Change Programme (CCP),Hard,2,"Why is the ""Ponkhiraj"" system beneficial for farmers?",It reduces crop variety,It eliminates fuel and electricity costs for irrigation,It increases the use of chemical fertilisers,It requires less land for farming,B,It eliminates fuel and electricity costs for irrigation
CCP,Climate Change Programme (CCP),Hard,2,"What is a unique feature of the ""Ponkhiraj"" irrigation system?",It uses diesel engines,It is mobile and can be moved across fields,It only works in urban areas,It is used only for large farms,B,It is mobile and can be moved across fields
CCP,Climate Change Programme (CCP),Hard,2,"Which challenge does the ""Ponkhiraj"" system address?",Over-farming of land,Water scarcity and high irrigation costs,Soil erosion from heavy machinery,Poor seed quality,B,Water scarcity and high irrigation costs
KUMON,BRAC Kumon Ltd.,Easy,1,Which area is MOST central to BRAC Kumon Ltd.?,integrated rural development,migration support services,"water, sanitation and hygiene",supplementary education in maths and reading,D,supplementary education in maths and reading
KUMON,BRAC Kumon Ltd.,Easy,1,Who are the primary participants/beneficiaries for BRAC Kumon Ltd.?,communities and grassroots groups,fish farmers and value chain actors,low-income entrepreneurs,school-age children,D,school-age children
KUMON,BRAC Kumon Ltd.,Easy,1,Which activity best matches BRAC Kumon Ltd.’s core work?,"clubs, volunteering and innovation challenges",self-learning worksheets and guided practice,locally led adaptation planning and pilots,TVET and apprenticeships,B,self-learning worksheets and guided practice
KUMON,BRAC Kumon Ltd.,Medium,1.5,Which Sustainable Development Goal aligns BEST with BRAC Kumon Ltd.?,SDG 4: Quality Education,SDG 2: Zero Hunger,SDG 5: Gender Equality,"SDG 16: Peace, Justice and Strong Institutions",A,SDG 4: Quality Education
KUMON,BRAC Kumon Ltd.,Medium,1.5,BRAC Kumon Ltd. operates primarily in which setting?,cities and towns,institutions and communities,camps and host communities,learning centres and home study,D,learning centres and home study
KUMON,BRAC Kumon Ltd.,Medium,1.5,Which indicator BEST reflects success for BRAC Kumon Ltd.?,households with preparedness plans and trained volunteers,saplings sold and survival rates,progress through levels and improved numeracy/literacy,yields and farmer income,C,progress through levels and improved numeracy/literacy
KUMON,BRAC Kumon Ltd.,Hard,2,BRAC Kumon Ltd. commonly partners with which stakeholders?,"government, recruiters and service providers",parents and instructors,legal aid and protection services,research institutes and dealers,B,parents and instructors
KUMON,BRAC Kumon Ltd.,Hard,2,What is the MAIN delivery channel used by BRAC Kumon Ltd.?,community platforms and ward-level forums,capacity building and advocacy,demo ponds and advisory,structured worksheets and feedback,D,structured worksheets and feedback
KUMON,BRAC Kumon Ltd.,Hard,2,Which innovation is TYPICAL of BRAC Kumon Ltd.?,salinity-smart practices and vulnerability mapping,personalised pacing and mastery learning,paralegal support and safe referral systems,high-yield and stress-tolerant varieties,B,personalised pacing and mastery learning
KUMON,BRAC Kumon Ltd.,Hard,2,Which risk or challenge is BRAC Kumon Ltd. MOST concerned with?,service fragmentation and access barriers,"fraud, exploitation and misinformation",preventable illness and access gaps,learning gaps and foundational skill deficits,D,learning gaps and foundational skill deficits
ASC,Advocacy for Social Change (ASC) (Pool Fund),Easy,1,Which area is MOST central to Advocacy for Social Change (ASC) (Pool Fund)?,digital platforms and IT services,supplementary education in maths and reading,social behaviour change and citizen voice,saplings and horticulture,C,social behaviour change and citizen voice
ASC,Advocacy for Social Change (ASC) (Pool Fund),Easy,1,Who are the primary participants/beneficiaries for Advocacy for Social Change (ASC) (Pool Fund)?,climate-vulnerable households,BRAC programmes and clients,communities and grassroots groups,school-age children,C,communities and grassroots groups
ASC,Advocacy for Social Change (ASC) (Pool Fund),Easy,1,Which activity best matches Advocacy for Social Change (ASC) (Pool Fund)’s core work?,advocacy campaigns and policy dialogue,"clubs, volunteering and innovation challenges",production and distribution of quality seed,community health workers and clinics,A,advocacy campaigns and policy dialogue
ASC,Advocacy for Social Change (ASC) (Pool Fund),Medium,1.5,Which Sustainable Development Goal aligns BEST with Advocacy for Social Change (ASC) (Pool Fund)?,"SDG 16: Peace, Justice and Strong Institutions",SDG 1: No Poverty,SDG 8: Decent Work and Economic Growth,SDG 13: Climate Action,A,"SDG 16: Peace, Justice and Strong Institutions"
ASC,Advocacy for Social Change (ASC) (Pool Fund),Medium,1.5,Advocacy for Social Change (ASC) (Pool Fund) operates primarily in which setting?,ponds and aquaculture hubs,community and policy platforms,agricultural regions,milk sheds and markets,B,community and policy platforms
ASC,Advocacy for Social Change (ASC) (Pool Fund),Medium,1.5,Which indicator BEST reflects success for Advocacy for Social Change (ASC) (Pool Fund)?,milk quality and volumes processed,campaign reach and engagement,people reached with timely support,clients counselled and safe migration outcomes,B,campaign reach and engagement
ASC,Advocacy for Social Change (ASC) (Pool Fund),Hard,2,Advocacy for Social Change (ASC) (Pool Fund) commonly partners with which stakeholders?,local government and programme clusters,civil society and media,dairy farmers and retailers,internal programmes and tech partners,B,civil society and media
ASC,Advocacy for Social Change (ASC) (Pool Fund),Hard,2,What is the MAIN delivery channel used by Advocacy for Social Change (ASC) (Pool Fund)?,"apps, data systems and support desks",work-based learning and certification,"edutainment, dialogues and community mobilisation",community shalish and helplines,C,"edutainment, dialogues and community mobilisation"
ASC,Advocacy for Social Change (ASC) (Pool Fund),Hard,2,Which innovation is TYPICAL of Advocacy for Social Change (ASC) (Pool Fund)?,automation and data-driven decision tools,evidence-led messaging and storytelling,neighbourhood upgrading and co-designed service solutions,paralegal support and safe referral systems,B,evidence-led messaging and storytelling
ASC,Advocacy for Social Change (ASC) (Pool Fund),Hard,2,Which risk or challenge is Advocacy for Social Change (ASC) (Pool Fund) MOST concerned with?,income shocks and limited collateral,limited pathways and underemployment,"cyclones, floods and storm surges",low awareness and limited participation,D,low awareness and limited participation
MF,Microfinance,Easy,1,Which area is MOST central to Microfinance?,inclusive financial services,youth leadership and opportunities,digital platforms and IT services,primary health and community health systems,A,inclusive financial services
MF,Microfinance,Easy,1,Who are the primary participants/beneficiaries for Microfinance?,households and schools,households and farmers,"women, girls and marginalised groups",low-income entrepreneurs,D,low-income entrepreneurs
MF,Microfinance,Easy,1,Which activity best matches Microfinance’s core work?,production and distribution of quality seed,TVET and apprenticeships,locally led adaptation planning and pilots,microloans and financial literacy,D,microloans and financial literacy
MF,Microfinance,Medium,1.5,Which Sustainable Development Goal aligns BEST with Microfinance?,SDG 4: Quality Education,SDG 1: No Poverty,SDG 5: Gender Equality,"SDG 16: Peace, Justice and Strong Institutions",B,SDG 1: No Poverty
MF,Microfinance,Medium,1.5,Microfinance operates primarily in which setting?,salinity- and flood-affected regions,milk sheds and markets,agricultural regions,rural and peri-urban areas,D,rural and peri-urban areas
MF,Microfinance,Medium,1.5,Which indicator BEST reflects success for Microfinance?,campaign reach and engagement,households with preparedness plans and trained volunteers,clients counselled and safe migration outcomes,repayment rates and enterprise growth,D,repayment rates and enterprise growth
MF,Microfinance,Hard,2,Microfinance commonly partners with which stakeholders?,research institutes and dealers,city corporations and local government bodies,government health system and partners,community groups and financial institutions,D,community groups and financial institutions
MF,Microfinance,Hard,2,What is the MAIN delivery channel used by Microfinance?,"clubs, bootcamps and events",one-stop centres and outreach,group meetings and field visits,service centres and outreach,C,group meetings and field visits
MF,Microfinance,Hard,2,Which innovation is TYPICAL of Microfinance?,improved breeds and pond management,graduation approach and tailored coaching,salinity-smart practices and vulnerability mapping,tailored loan products and client-centric design,D,tailored loan products and client-centric design
MF,Microfinance,Hard,2,Which risk or challenge is Microfinance MOST concerned with?,urban disaster and infrastructure gaps,low awareness and limited participation,income shocks and limited collateral,discrimination and harmful norms,C,income shocks and limited collateral
SELP,Social Empowerment and Legal Protection (SELP),Easy,1,Which area is MOST central to Social Empowerment and Legal Protection (SELP)?,primary health and community health systems,social empowerment and legal aid,supplementary education in maths and reading,ultra-poverty graduation,B,social empowerment and legal aid
SELP,Social Empowerment and Legal Protection (SELP),Easy,1,Who are the primary participants/beneficiaries for Social Empowerment and Legal Protection (SELP)?,children and adolescents,women and vulnerable groups,"women, girls and marginalised groups",young people,B,women and vulnerable groups
SELP,Social Empowerment and Legal Protection (SELP),Easy,1,Which activity best matches Social Empowerment and Legal Protection (SELP)’s core work?,legal counselling and rights awareness,TVET and apprenticeships,locally led adaptation planning and pilots,improving access to basic services in informal settlements,A,legal counselling and rights awareness
SELP,Social Empowerment and Legal Protection (SELP),Medium,1.5,Which Sustainable Development Goal aligns BEST with Social Empowerment and Legal Protection (SELP)?,SDG 3: Good Health and Well-being,"SDG 16: Peace, Justice and Strong Institutions",SDG 4: Quality Education,SDG 5: Gender Equality,D,SDG 5: Gender Equality
SELP,Social Empowerment and Legal Protection (SELP),Medium,1.5,Social Empowerment and Legal Protection (SELP) operates primarily in which setting?,enterprise IT and field tech,flood- and cyclone-prone areas,ponds and aquaculture hubs,community justice and referral networks,D,community justice and referral networks
SELP,Social Empowerment and Legal Protection (SELP),Medium,1.5,Which indicator BEST reflects success for Social Empowerment and Legal Protection (SELP)?,system uptime and user adoption,cases resolved and referrals supported,neighbourhoods with better services and governance,literacy/numeracy gains and retention,B,cases resolved and referrals supported
SELP,Social Empowerment and Legal Protection (SELP),Hard,2,Social Empowerment and Legal Protection (SELP) commonly partners with which stakeholders?,research institutes and dealers,local organisations and mentors,legal aid and protection services,hatcheries and extension providers,C,legal aid and protection services
SELP,Social Empowerment and Legal Protection (SELP),Hard,2,What is the MAIN delivery channel used by Social Empowerment and Legal Protection (SELP)?,capacity building and advocacy,community shalish and helplines,structured worksheets and feedback,adaptation clinics and community workshops,B,community shalish and helplines
SELP,Social Empowerment and Legal Protection (SELP),Hard,2,Which innovation is TYPICAL of Social Empowerment and Legal Protection (SELP)?,tailored loan products and client-centric design,graduation approach and tailored coaching,paralegal support and safe referral systems,neighbourhood upgrading and co-designed service solutions,C,paralegal support and safe referral systems
SELP,Social Empowerment and Legal Protection (SELP),Hard,2,Which risk or challenge is Social Empowerment and Legal Protection (SELP) MOST concerned with?,water contamination and poor sanitation,"violence, exploitation and legal exclusion",climate variability and slow-onset stresses,displacement and protection risks,B,"violence, exploitation and legal exclusion"
TECH,Technology Division,Easy,1,Which area is MOST central to Technology Division?,"water, sanitation and hygiene",humanitarian response and protection,digital platforms and IT services,social empowerment and legal aid,C,digital platforms and IT services
TECH,Technology Division,Easy,1,Who are the primary participants/beneficiaries for Technology Division?,low-income entrepreneurs,young people,people affected by crises,BRAC programmes and clients,D,BRAC programmes and clients
TECH,Technology Division,Easy,1,Which activity best matches Technology Division’s core work?,legal counselling and rights awareness,"clubs, volunteering and innovation challenges",building and maintaining digital systems,multi-sector services through one platform,C,building and maintaining digital systems
TECH,Technology Division,Medium,1.5,Which Sustainable Development Goal aligns BEST with Technology Division?,SDG 5: Gender Equality,SDG 1: No Poverty,SDG 10: Reduced Inequalities,"SDG 9: Industry, Innovation and Infrastructure",D,"SDG 9: Industry, Innovation and Infrastructure"
TECH,Technology Division,Medium,1.5,Technology Division operates primarily in which setting?,enterprise IT and field tech,learning centres and home study,ponds and aquaculture hubs,rural and peri-urban areas,A,enterprise IT and field tech
TECH,Technology Division,Medium,1.5,Which indicator BEST reflects success for Technology Division?,milk quality and volumes processed,households reached across multiple services,campaign reach and engagement,system uptime and user adoption,D,system uptime and user adoption
TECH,Technology Division,Hard,2,Technology Division commonly partners with which stakeholders?,growers and local distributors,internal programmes and tech partners,government health system and partners,civil society and media,B,internal programmes and tech partners
TECH,Technology Division,Hard,2,What is the MAIN delivery channel used by Technology Division?,coaching visits and group platforms,"helplines, centres and digital info",community platforms and ward-level forums,"apps, data systems and support desks",D,"apps, data systems and support desks"
TECH,Technology Division,Hard,2,Which innovation is TYPICAL of Technology Division?,improved breeds and pond management,youth-led solutions and peer learning,evidence-led messaging and storytelling,automation and data-driven decision tools,D,automation and data-driven decision tools
TECH,Technology Division,Hard,2,Which risk or challenge is Technology Division MOST concerned with?,water contamination and poor sanitation,urban disaster and infrastructure gaps,system downtime and data risks,"fraud, exploitation and misinformation",C,system downtime and data risks
BEP,BRAC Education Programme (BEP),Easy,1,Which innovation uses floating learning to reach children in remote haor areas?,Accelerated Model,Experiential Learning Boat,Learning Management System (LMS),Voice Message Call,B,Experiential Learning Boat
BEP,BRAC Education Programme (BEP),Easy,1,What type of messages are sent to parents in the ECD intervention?,Text messages,Voice messages,Emails,Video calls,B,Voice messages
BEP,BRAC Education Programme (BEP),Easy,1,The LMS primarily supports which group?,Students,Parents,Teachers ,Donors,C,Teachers 
BEP,BRAC Education Programme (BEP),Easy,1,The Accelerated Model mainly targets which group of children?,Preschoolers,Out-of-school children ,College Students,Refugee learners ,B,Out-of-school children 
BEP,BRAC Education Programme (BEP),Easy,1,When were the Experiential Learning Boats launched,2020,2021,2022,2023,C,2022
BEP,BRAC Education Programme (BEP),Easy,1,Which innovation can literally “float your learning”?,Learning Management System (LMS) ,Experiential Learning Boat ,Accelerated Model ,ECD Voice Message calls ,B ,Experiential learning Boats 
BEP,BRAC Education Programme (BEP),Medium,1.5,How many thematic boats operate under the Experiential Learning Boat initiative?,One,Two ,Three,Four ,C,Three
BEP,BRAC Education Programme (BEP),Medium,1.5,The LMS helps increase knowledge retention from around 10% to how much?,15-25%,25-60%,60-75%,75-90%,B,25-60%
BEP,BRAC Education Programme (BEP),Medium,1.5,How many mothers and caregivers were reached through the Voice Message Call initiative?,"12,000","50,000","149,368","200,000",C,"149,368"
BEP,BRAC Education Programme (BEP),Medium,1.5,What duration does the Accelerated Model provide for catch-up education?,6 months,8 months,1 year,1.5 years,C,1 Year 
BEP,BRAC Education Programme (BEP),Medium,1.5,Which innovation uses games and tools to teach mathematics?,Learning Management System (LMS) ,Math Boat,Accelerated Model,Digital Learning App,B,Math Boat
BEP,BRAC Education Programme (BEP),Medium,1.5,Which partner collaborated on the Voice Message Call initiative?,BRAC Health Programme,BRAC Microfinance ,BRAC University ,Local Government ,A,BRAC Health Programme
BEP,BRAC Education Programme (BEP),Hard,2,Which of the following correctly lists the themes of the Experiential Learning Boats?,"Math, Science, Language","Science, Values, Math","STEM, Life Skills, Social Studies","Values, Art, Environment",B,"Science, Values, Math"
BEP,BRAC Education Programme (BEP),Hard,2,"During the pilot phase, how many audio messages were delivered through the VMC intervention?",12,24,48,60,C,48
BEP,BRAC Education Programme (BEP),Hard,2,What year did BRAC pilot the Voice Message Call ECD intervention?,2020,2021,2022,2023,C,2022
BEP,BRAC Education Programme (BEP),Hard,2,Which innovation was developed to overcome the limitation of one-off in-person training?,Accelerated Model ,Learning Management System (LMS) ,Experiential Learning Boat ,Voice message call,B,Learning Management System (LMS) 
BEP,BRAC Education Programme (BEP),Hard,2,What are the two student groups in the Accelerated Model called?,Grade A and Grade B,Group A (grades 1–2) & Group B (grades 3–5),Class 1 and Class 2,Bridge A and Bridge B,B,Group A (grades 1–2) & Group B (grades 3–5)
BEP,BRAC Education Programme (BEP),Hard,2,Which innovation’s success is measured through improved school re-enrolment rates?,Learning Management System (LMS) ,Accelerated Model ,Experiential Learning Boat ,ECD Voice message call,B,Accelerated Model 
BEP,BRAC Education Programme (BEP),Hard,2,Which of the following statements best describes the LMS approach?,One-time training,"Blended, continuous learning cycle",Peer-to-peer teaching only,Community-based coaching model,B,"Blended, continuous learning cycle"
BEP,BRAC Education Programme (BEP),Hard,2,If the LMS is about digital training and the Boats float learning — which innovation “calls” for childhood development?,Accelerated Model ,Voice Message Call,Experiential Learning Boat ,Learning Management System (LMS) ,B,Voice Message Call
BYP,BRAC Youth Platform (BYP),Easy,1,Which area is MOST central to BRAC Youth Platform (BYP)?,primary and non-formal education,supplementary education in maths and reading,youth leadership and opportunities,humanitarian response and protection,C,youth leadership and opportunities
BYP,BRAC Youth Platform (BYP),Easy,1,Who are the primary participants/beneficiaries for BRAC Youth Platform (BYP)?,aspiring and returning migrants,low-income urban residents,young people,"women, children and families",C,young people
BYP,BRAC Youth Platform (BYP),Easy,1,Which activity best matches BRAC Youth Platform (BYP)’s core work?,community-based disaster preparedness and early warning,self-learning worksheets and guided practice,gender mainstreaming and training,"clubs, volunteering and innovation challenges",D,"clubs, volunteering and innovation challenges"
BYP,BRAC Youth Platform (BYP),Medium,1.5,Which Sustainable Development Goal aligns BEST with BRAC Youth Platform (BYP)?,SDG 8: Decent Work and Economic Growth,SDG 1: No Poverty,SDG 3: Good Health and Well-being,SDG 11: Sustainable Cities and Communities,A,SDG 8: Decent Work and Economic Growth
BYP,BRAC Youth Platform (BYP),Medium,1.5,BRAC Youth Platform (BYP) operates primarily in which setting?,institutions and communities,migration hubs and community centres,"schools, campuses and communities",rural and peri-urban areas,C,"schools, campuses and communities"
BYP,BRAC Youth Platform (BYP),Medium,1.5,Which indicator BEST reflects success for BRAC Youth Platform (BYP)?,households reached across multiple services,youth participation and projects delivered,neighbourhoods with better services and governance,cases resolved and referrals supported,B,youth participation and projects delivered
BYP,BRAC Youth Platform (BYP),Hard,2,BRAC Youth Platform (BYP) commonly partners with which stakeholders?,local organisations and mentors,parents and instructors,"UN agencies, NGOs and government","ministries, CSOs and networks",A,local organisations and mentors
BYP,BRAC Youth Platform (BYP),Hard,2,What is the MAIN delivery channel used by BRAC Youth Platform (BYP)?,cold chain and distribution networks,teachers’ training and learning materials,"risk alerts, drills and training","clubs, bootcamps and events",D,"clubs, bootcamps and events"
BYP,BRAC Youth Platform (BYP),Hard,2,Which innovation is TYPICAL of BRAC Youth Platform (BYP)?,remedial education and playful learning,youth-led solutions and peer learning,quality testing and value-added products,faecal sludge management and hygiene nudges,B,youth-led solutions and peer learning
