programme_code,programme_name,question,option_A,option_B,option_C,option_D,answer,answer_text
IDP,Integrated Development Programme (IDP),Which Sustainable Development Goal aligns BEST with Integrated Development Programme (IDP)?,SDG 1: No Poverty,SDG 13: Climate Action,"SDG 9: Industry, Innovation and Infrastructure","SDG 16: Peace, Justice and Strong Institutions",A,SDG 1: No Poverty
IDP,Integrated Development Programme (IDP),Integrated Development Programme (IDP) operates primarily in which setting?,milk sheds and markets,enterprise IT and field tech,cities and towns,char/haor/remote areas,D,char/haor/remote areas
IDP,Integrated Development Programme (IDP),Which indicator BEST reflects success for Integrated Development Programme (IDP)?,safe water access and improved sanitation use,sustained income and asset growth,households reached across multiple services,gender-responsive policies and practices,C,households reached across multiple services
IDP,Integrated Development Programme (IDP),Integrated Development Programme (IDP) commonly partners with which stakeholders?,community groups and financial institutions,civil society and media,local government and programme clusters,"government, recruiters and service providers",C,local government and programme clusters
IDP,Integrated Development Programme (IDP),What is the MAIN delivery channel used by Integrated Development Programme (IDP)?,community platforms and ward-level forums,household visits and health campaigns,one-stop centres and outreach,"clubs, bootcamps and events",C,one-stop centres and outreach
IDP,Integrated Development Programme (IDP),Which innovation is TYPICAL of Integrated Development Programme (IDP)?,co-located services and last-mile delivery,gender audits and inclusive design,community early warning and contingency planning,paralegal support and safe referral systems,A,co-located services and last-mile delivery
IDP,Integrated Development Programme (IDP),Which risk or challenge is Integrated Development Programme (IDP) MOST concerned with?,service fragmentation and access barriers,income shocks and limited collateral,"violence, exploitation and legal exclusion","disease, water quality and input costs",A,service fragmentation and access barriers
GJD,Gender Justice & Diversity (GJD),Which area is MOST central to Gender Justice & Diversity (GJD)?,gender justice and diversity,"water, sanitation and hygiene",disaster risk reduction and preparedness,saplings and horticulture,A,gender justice and diversity
GJD,Gender Justice & Diversity (GJD),Who are the primary participants/beneficiaries for Gender Justice & Diversity (GJD)?,farmers,youth and jobseekers,"women, girls and marginalised groups",BRAC programmes and clients,C,"women, girls and marginalised groups"
GJD,Gender Justice & Diversity (GJD),Which activity best matches Gender Justice & Diversity (GJD)’s core work?,gender mainstreaming and training,locally led adaptation planning and pilots,improving access to basic services in informal settlements,self-learning worksheets and guided practice,A,gender mainstreaming and training
GJD,Gender Justice & Diversity (GJD),Which Sustainable Development Goal aligns BEST with Gender Justice & Diversity (GJD)?,SDG 1: No Poverty,SDG 4: Quality Education,SDG 5: Gender Equality,SDG 15: Life on Land,C,SDG 5: Gender Equality
GJD,Gender Justice & Diversity (GJD),Gender Justice & Diversity (GJD) operates primarily in which setting?,agricultural regions,institutions and communities,enterprise IT and field tech,community justice and referral networks,B,institutions and communities
GJD,Gender Justice & Diversity (GJD),Which indicator BEST reflects success for Gender Justice & Diversity (GJD)?,gender-responsive policies and practices,people reached with timely support,safe water access and improved sanitation use,milk quality and volumes processed,A,gender-responsive policies and practices
GJD,Gender Justice & Diversity (GJD),Gender Justice & Diversity (GJD) commonly partners with which stakeholders?,"ministries, CSOs and networks","government, recruiters and service providers",city corporations and local government bodies,growers and local distributors,A,"ministries, CSOs and networks"
GJD,Gender Justice & Diversity (GJD),What is the MAIN delivery channel used by Gender Justice & Diversity (GJD)?,coaching visits and group platforms,capacity building and advocacy,"risk alerts, drills and training",group meetings and field visits,B,capacity building and advocacy
