programme_code,programme_name,difficulty,weight,question,option_A,option_B,option_C,option_D,answer_letter,answer_text
UDP,Urban Development Programme (UDP),Medium,1.5,"In the game, you see “PET 1” on a bottle image. What is this little code trying to teach you?",That secret numbers are printed with no meaning,That recycling depends only on brand popularity,That plastic types are labelled and can be sorted smarter,That only factories should ever read such labels,C,That plastic types are labelled and can be sorted smarter
UDP,Urban Development Programme (UDP),Medium,1.5,If a  recycled lumber bench says that it saved plastic equal to 800 bags.  What is this message doing?,Showing a random guess with no real meaning,Hiding the real impact behind fancy big numbers,Making recycled products less impactful & unusual,Turning impact into a picture your brain can feel,D,Turning impact into a picture your brain can feel
UDP,Urban Development Programme (UDP),Hard,2,A city uses both colourful bins and a small litter fine. Which statement is correct?,Bins are nudges; fines are regulations,Both are nudges,Fines are nudges; bins are decoration,Neither affects behaviour in any way,A,Bins are nudges; fines are regulations
UDP,Urban Development Programme (UDP),Hard,2,What is the best way to judge if a plastic nudge has worked?,By asking only organisers if signs look pretty,By comparing plastic use data before and after,By counting total posters & messages ,By checking number of meetings about nudges,B,By comparing plastic use data before and after
UDP,Urban Development Programme (UDP),Hard,2,"If one barrier is placed in a very clean stretch of river, what might be a better strategy?",Add more lights so it looks impressive at night,Keep it there because moving barriers is symbolic,Build a fence so people cannot see the barrier,Move it closer to plastic hotspots identified by data,D,Move it closer to plastic hotspots identified by data
UDP,Urban Development Programme (UDP),Hard,2,"If a city installs many barriers but never improves neighbourhood waste collection, what is the likely outcome?",Rivers become perfectly clean in just a few days,Barriers remove the need for any more collection,Barriers help for a while but plastic keeps coming,People immediately stop buying any plastic items,C,Barriers help for a while but plastic keeps coming
UDP,Urban Development Programme (UDP),Hard,2,"After few days, workers observed that the timing of captured plastic has changed. What could be the reason for this change?",Seasonal variation affecting waste disposal patterns,Changes in the tidal schedule,Changes in local community behaviour,Workers recording the data at different times,B,Changes in the tidal schedule
UDP,Urban Development Programme (UDP),Hard,2,Which example best shows a “loop” rather than a “line”?,"Bottles collected, recycled and turned into bottles again","Bottles collected, displayed, then dumped","Bottles used once, buried and forgotten underground","Bottles used once, Dumped & burned",A,"Bottles collected, recycled and turned into bottles again"
UDP,Urban Development Programme (UDP),Hard,2,"Another city in Bangladesh wants to copy the Cox’s Bazar model behaviour nudges, river barrier, and recycling factory.
What should they ask first to adapt all three properly?",Where do most households currently discard their plastic waste?,"Which plastics leak here, and how do they travel?",How much plastic enters our formal waste system monthly?,Which locations along the river collect the most litter?,B,"Which plastics leak here, and how do they travel?"
UDP,Urban Development Programme (UDP),Hard,2,"To tell the full recycling story, what must the stall remind visitors about their role?",Recycling matters less than colourful logos and lights,Recycling is just about big machines and less impact,Recycling works on its own without citizens doing anything,"Recycling works only if people reduce, sort and buy recycled",D,"Recycling works only if people reduce, sort and buy recycled"
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,What is the main purpose of the Lightning Shed innovation?,To provide a place for storing crops,To give safe shelter during lightning and floods,To collect rainwater for irrigation,To promote tree plantation,B,To give safe shelter during lightning and floods
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,When do lightning strikes occur most frequently in Bangladesh?,Winter season,Pre-monsoon and monsoon seasons,Autumn season,Late winter,B,Pre-monsoon and monsoon seasons
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,What is one simple community-based solution to reduce lightning casualties?,Organizing lightning awareness sessions,Playing music loudly,Using umbrellas in open fields,Closing schools during summer,A,Organizing lightning awareness sessions
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,Who can play an important role in spreading early warning messages in community level?,Community volunteers and local leaders,Only government officials,Only teachers,Only media persons,A,Community volunteers and local leaders
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,What should people avoid touching during a thunderstorm?,Wooden doors,Metal objects and electrical appliances,Books,Clothes,B,Metal objects and electrical appliances
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,What safety feature is included in the lightning protection shed?,Lightning conductor,Water pump,Solar light,Fire extinguisher,A,Lightning conductor
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,Who monitors the water levels in the community flood forecasting system?,Local government officials,School teachers,Community volunteers,Farmers,C,Community volunteers
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,What do we mean by a Community Flood Gauge?,A device/structure for lightning warning,A device/structure for earthquake warning,A device/structure for cyclone warning,A device/structure for flood warning,D,A device/structure for flood warning
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,In which type of region is it most appropriate to install a Community Flood Gauge?,Cyclone-prone areas,Hilly regions,Drought-prone areas,Haor (wetland) areas,D,Haor (wetland) areas
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,What is the main purpose of a Community Flood Gauge?,For constructing railway lines,For earthquake preparedness,For assessing flood damage,For flood warning dissemination and preparedness,D,For flood warning dissemination and preparedness
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,Which BRAC programme has installed the Community Flood Gauge?,Climate Change Programme,Microfinance Programme,Urban Development Programme,Disaster Risk Management Programme,D,Disaster Risk Management Programme
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,What color codes are used in the BRAC-installed Community Flood Gauge?,"Red, Blue, Yellow","Green, Yellow, Red","White, Red, Blue","Magenta, Red, Yellow",B,"Green, Yellow, Red"
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,Which problem does the livestock shelter primarily address?,Crop failure,Livestock loss during floods,Drought,River pollution,B,Livestock loss during floods
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,Which of the following is a community-based early warning tool?,Lightning conductor,Community flood gauge,Bondhu Tori boat,Livestock shelter,B,Community flood gauge
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,How does a community-based early warning system help the community?,Ignoring warnings,Efficient evacuation and preparedness,Building dams by themselves,Predicting earthquakes,B,Efficient evacuation and preparedness
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,Which is an effective way to increase community awareness about early warning system?,Conducting training and drills,Ignoring early warnings,Posting random signs in the river,Relying only on social media rumors,A,Conducting training and drills
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,Why do people hesitate to go to shelters during floods?,The shelter is too far,Lack of food,They do not want to leave their livestock behind,Water is too strong,C,They do not want to leave their livestock behind
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,"Besides keeping livestock safe, why are the disaster shelters important?",Expanding education,Protecting livelihoods and assets,Producing new crops,Improving irrigation,B,Protecting livelihoods and assets
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,What is the main reason for high farmer deaths due to lightning in Bangladesh?,Farmers working at night,Lack of lightning protection in agricultural fields,Use of unsafe equipment,Heavy rainfall,B,Lack of lightning protection in agricultural fields
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,"Besides lightning protection, what other hazards do the disaster shelters protect people from?",Heavy rainfall,Extreme heat/heatwaves,Flooding,Cyclones,B,Extreme heat/heatwaves
CCP,Climate Change Programme (CCP),Easy,1,"What types of trees are planted in ""Amar Bon""?",Only timber trees,"Timber, fruit, and medicinal trees",Only fruit trees,Only ornamental plants,B,"Timber, fruit, and medicinal trees"
CCP,Climate Change Programme (CCP),Easy,1,"What is a key feature of the ""Amar Bon"" model?",It uses monoculture farming,It uses a mix of indigenous tree species,It focuses on urban tree planting,It relies on chemical pesticides,B,It uses a mix of indigenous tree species
CCP,Climate Change Programme (CCP),Easy,1,"What is the main purpose of the ""Adaptation Clinic""?",To provide food aid to farmers,To help farmers adopt climate-smart agricultural practices,To offer health care to rural communities,To construct new roads for farmers,B,To help farmers adopt climate-smart agricultural practices
CCP,Climate Change Programme (CCP),Easy,1,"Who primarily benefits from the services of the ""Adaptation Clinic""?",Urban businesses,Climate-vulnerable farmers,Children in cities,Large-scale agricultural companies,B,Climate-vulnerable farmers
CCP,Climate Change Programme (CCP),Easy,1,"What type of energy does the ""Ponkhiraj"" irrigation system use?",Fossil fuels,Solar energy,Wind energy,Biomass energy,B,Solar energy
CCP,Climate Change Programme (CCP),Medium,1.5,"What is the goal of the ""Amar Bon"" project?",To plant mixed species of trees for climate resilience,To build greenhouses for crops,To construct roads in rural areas,To grow rice in fallow lands,A,To plant mixed species of trees for climate resilience
CCP,Climate Change Programme (CCP),Medium,1.5,"Which type of land does the ""Amar Bon"" project rehabilitate?",Fertile agricultural land,Fallow and unused land,Urban land for parks,Wetlands for flood management,B,Fallow and unused land
CCP,Climate Change Programme (CCP),Medium,1.5,"How does ""Amar Bon"" contribute to climate change mitigation?",By absorbing carbon dioxide through tree planting,By building large dams for water storage,By using chemical fertilisers,By providing solar power to farms,A,By absorbing carbon dioxide through tree planting
CCP,Climate Change Programme (CCP),Medium,1.5,"What is the main purpose of the ""Rainwater Harvesting System""?",To increase agricultural yields,To collect and store rainwater for safe drinking,To create recreational water bodies,To purify industrial water,B,To collect and store rainwater for safe drinking
CCP,Climate Change Programme (CCP),Medium,1.5,"How does the ""Rainwater Harvesting System"" help rural communities?",It provides a reliable water source during the dry season,It generates electricity from water,It improves crop yields,It builds new irrigation canals,A,It provides a reliable water source during the dry season
CCP,Climate Change Programme (CCP),Medium,1.5,"How many filters are there for the ""Rainwater Harvesting System""?",2,4,1,3,A,2
CCP,Climate Change Programme (CCP),Medium,1.5,"What type of community does the ""Rainwater Harvesting System"" primarily benefit?",Rural communities with water scarcity,Urban centres with good infrastructure,Industrial zones with high water usage,Wealthy neighbourhoods,A,Rural communities with water scarcity
CCP,Climate Change Programme (CCP),Medium,1.5,"What is the key approach of the ""Adaptation Clinic""?",Large-scale industrial farming,"Local, context-specific climate adaptation",Relying on imported seeds and fertilisers,Exclusively promoting irrigation systems,B,"Local, context-specific climate adaptation"
CCP,Climate Change Programme (CCP),Medium,1.5,"What is the main function of the ""Ponkhiraj"" system?",To filter water for drinking,To provide solar-powered irrigation for farming,To generate electricity for homes,To process soil for agriculture,B,To provide solar-powered irrigation for farming
CCP,Climate Change Programme (CCP),Medium,1.5,"Who benefits the most from the ""Ponkhiraj"" mobile irrigation system?",Large corporations,Urban centres,Small-scale farmers in rural areas,Government agencies,C,Small-scale farmers in rural areas
CCP,Climate Change Programme (CCP),Hard,2,"What is a key benefit of the ""Amar Bon"" project?",It improves biodiversity and soil fertility,It reduces the number of pests in agriculture,It increases urban development,It reduces the need for irrigation,A,It improves biodiversity and soil fertility
CCP,Climate Change Programme (CCP),Hard,2,"Which of the following is a technique promoted by the ""Adaptation Clinic""?",Genetic modification of crops,Regenerative farming practices,Urban agriculture,Traditional crop rotation,B,Regenerative farming practices
CCP,Climate Change Programme (CCP),Hard,2,"What type of weather-related information does the ""Adaptation Clinic"" provide to farmers?",Early weather forecasts and climate data,Urban development plans,National economic forecasts,Tourism statistics,A,Early weather forecasts and climate data
CCP,Climate Change Programme (CCP),Hard,2,"Why is the ""Ponkhiraj"" system beneficial for farmers?",It reduces crop variety,It eliminates fuel and electricity costs for irrigation,It increases the use of chemical fertilisers,It requires less land for farming,B,It eliminates fuel and electricity costs for irrigation
CCP,Climate Change Programme (CCP),Hard,2,"What is a unique feature of the ""Ponkhiraj"" irrigation system?",It uses diesel engines,It is mobile and can be moved across fields,It only works in urban areas,It is used only for large farms,B,It is mobile and can be moved across fields
CCP,Climate Change Programme (CCP),Hard,2,"Which challenge does the ""Ponkhiraj"" system address?",Over-farming of land,Water scarcity and high irrigation costs,Soil erosion from heavy machinery,Poor seed quality,B,Water scarcity and high irrigation costs
KUMON,BRAC Kumon Ltd.,Easy,1,How many Kumon Centers are there across Bangladesh?,15+,22+,32+,50+,C,32+ centers
KUMON,BRAC Kumon Ltd.,Easy,1,Kumon Bangladesh currently serves how many students?,"2,000+","5,000+","10,000+","20,000+",C,"10,000+ students"
KUMON,BRAC Kumon Ltd.,Easy,1,Who founded the Kumon Method?,Takeshi Kumon,Toru Kumon,Hiroshi Kumon,Takashi Toru,B,Toru Kumon
KUMON,BRAC Kumon Ltd.,Easy,1,"Up to December 2025, what waiver is available on Kumon enrollment?",20%,30%,40%,50%,D,50%
KUMON,BRAC Kumon Ltd.,Easy,1,Kumon offers programs in which subjects?,Math only,English only,Math & English,Science & Math,C,Math & English
KUMON,BRAC Kumon Ltd.,Easy,1,What is the age range for students joining Kumon?,2–10 years,3–14 years,5–18 years,6–12 years,B,3–14 years
KUMON,BRAC Kumon Ltd.,Medium,1.5,Which test is required for assessing new Kumon students?,Entry Exam,Diagnostic Test,Achievement Test,Level Test,B,Diagnostic Test
KUMON,BRAC Kumon Ltd.,Medium,1.5,Which step comes first in the Kumon franchise selection process?,Join Orientation,Apply to Open a Center,Agreement Signing,Proficiency Test,B,Apply to Open a Center
KUMON,BRAC Kumon Ltd.,Medium,1.5,What is the capital required to open a Kumon Center?,5 lakhs+,10 lakhs+,25 lakhs+,50 lakhs+,C,BDT 25 lakhs+
KUMON,BRAC Kumon Ltd.,Medium,1.5,Kumon is available in how many countries globally?,20+,40+,60+,100+,C,60+ countries
KUMON,BRAC Kumon Ltd.,Medium,1.5,What is the unique feature of Kumon method?,Group study,Teacher-led classes,Individualized study plan,Weekend-only sessions,C,Individualized study plan
KUMON,BRAC Kumon Ltd.,Medium,1.5,What type of support does BRAC Kumon provides to franchisees?,Training & Development,Marketing,Operational Support,All of the above,D,All of the above
KUMON,BRAC Kumon Ltd.,Hard,2,What happens after the Proficiency Test in the Kumon franchise process?,Property Search,Agreement Signing,Individual Consultation,Orientation Program,C,Individual Consultation
KUMON,BRAC Kumon Ltd.,Hard,2,What is a key responsibility of a Kumon Instructor?,Teach in classrooms,Create personalized study plans,Only check homework,Manage accounting,B,Create personalized study plans
KUMON,BRAC Kumon Ltd.,Hard,2,How many global Kumon centers exist?,"2,000+","10,000+","20,000+","27,000+",D,"27,000+ centers globally"
KUMON,BRAC Kumon Ltd.,Hard,2,Which city is NOT listed as a location for next Kumon centers?,Dhaka,Chattogram,Jashore,None,C,Jashore
KUMON,BRAC Kumon Ltd.,Hard,2,Kumon method emphasizes which learning approach?,Memorization,"Incremental, self-learning",Course based learning,One-on-one coaching,B,"Incremental, self-learning"
KUMON,BRAC Kumon Ltd.,Hard,2,What is the referral reward for the Kumon Franchise Program?,"BDT 5,000","BDT 10,000","BDT 12,000","BDT 20,000",D,"BDT 20,000"
KUMON,BRAC Kumon Ltd.,Hard,2,What is the last step before opening a Kumon Center?,Orientation,Search & Confirm Property,New Instructor Training,Agreement Signing,C,New Instructor Training
KUMON,BRAC Kumon Ltd.,Hard,2,What is a major impact goal of the Kumon Franchise?,Business profit only,Social impact,School replacement,Government partnership,B,Social impact
MF,Microfinance (Dabi),Easy,1,Who is the main target group of the Dabi programme?,"Poor and marginal people, especially working-age women",Only big businessmen,Only families living on money sent from abroad,Only government employees,A,"Poor and marginal people, especially working-age women"
MF,Microfinance (Dabi),Easy,1,From what amount does a regular Dabi loan usually start?,"5,000 taka","10,000 taka","20,000 taka","100,000 taka",C,"20,000 taka"
MF,Microfinance (Dabi),Easy,1,What is the usual duration of a regular Dabi loan?,6 months,9 months,12 months,24 months,C,12 months
MF,Microfinance (Dabi),Easy,1,"For a Dabi loan, what is the usual age range for members?",16–60 years,18–70 years,21–55 years,25–65 years,B,18–70 years
MF,Microfinance (Dabi),Easy,1,Approximately what percentage of BRAC microfinance members are women?,50%,70%,90%,100%,C,90%
MF,Microfinance (Dabi),Easy,1,"When a client comes to a Dabi branch, which way of addressing BRAC staff is acceptable?","Saying “hey you, listen”",Calling them apa/didi/bhai (sister/brother) politely and with respect,Calling only by name without respect,Throwing papers without saying anything,B,Calling them apa/didi/bhai (sister/brother) politely and with respect
MF,Microfinance (Dabi),Medium,1.5,"Under the Dabi programme, what kinds of extra services do members get besides loans?",Limited health and education services in a few branches only,Only technical services on agriculture and livestock,Only legal aid and water–sanitation services,"Health, education, agriculture and environment, legal aid, water and sanitation and other support services",D,"Health, education, agriculture and environment, legal aid, water and sanitation and other support services"
MF,Microfinance (Dabi),Medium,1.5,"In the idea “Credit Plus Plus,” what does the first “Plus” mean?",Only giving a higher loan limit,Building market linkages or market connections,Only providing training and skills development,Increasing only the number of savings products,B,Building market linkages or market connections
MF,Microfinance (Dabi),Medium,1.5,What is the main purpose of the “Friend in Need Savings” (Bipoder Bondhu) product?,To create a big fixed deposit at one time after a fixed period,To save small amounts regularly and build a fund to use in times of trouble,To keep a separate fund only for children’s school fees,To save mainly for foreign travel expenses,B,To save small amounts regularly and build a fund to use in times of trouble
MF,Microfinance (Dabi),Medium,1.5,A technology loan from BRAC Microfinance is mainly given for which purpose?,Only to pay monthly internet bills,"To buy digital devices like laptops/smartphones for study, online services and running a business",To buy raw materials and pay shop rent,Only to buy farm machines like power tillers,B,"To buy digital devices like laptops/smartphones for study, online services and running a business"
MF,Microfinance (Dabi),Medium,1.5,"For a new client of BRAC Microfinance, an independent (Shadhin) loan is usually given between which amounts?","10,000–50,000 taka","20,000–75,000 taka","30,000–100,000 taka","75,000–200,000 taka",B,"20,000–75,000 taka"
MF,Microfinance (Dabi),Medium,1.5,Regular Dabi loans mainly help which families to build family capital?,Only middle-income business families in towns,Low-income families in both villages and towns,Only landless agricultural labourer families in villages,Only families of government officers and bank employees,B,Low-income families in both villages and towns
MF,Microfinance (Dabi),Hard,2,"When applying for a regular Dabi loan, which two documents are usually a must?",Only a photocopy of the national ID card is enough,Only two photographs and a copy of the birth certificate,Photocopy of national ID card/passport and passport-sized photographs,Land deed and income tax (TIN) certificate are mandatory,C,Photocopy of national ID card/passport and passport-sized photographs
MF,Microfinance (Dabi),Hard,2,What is the maximum installment period for a technology loan from BRAC Microfinance?,12 months,15 months,18 months,24 months,C,18 months
MF,Microfinance (Dabi),Hard,2,"For farming, cattle/goat fattening and fish culture, which type of loan is mainly given under the Dabi programme?",Regular Dabi loan (for general household spending),"Independent (Shadhin) loan, mainly for income-generating agriculture and livestock activities","Only technology loan, mainly for buying digital devices","Migration loan, mainly for going abroad",B,"Independent (Shadhin) loan, mainly for income-generating agriculture and livestock activities"
MF,Microfinance (Dabi),Hard,2,"In the idea “Credit Plus Plus,” what does the second “Plus” mean?",Making all loan instalments fully digital,Increasing service charges on clients,"Providing non-loan support like education, health and other services",Only opening savings accounts for clients,C,"Providing non-loan support like education, health and other services"
MF,Microfinance (Dabi),Hard,2,"At present, in how many countries is BRAC’s microfinance model active?",4 countries,5 countries,6 countries,8 countries,D,8 countries
MF,Microfinance (Dabi),Hard,2,"Over more than five decades, roughly how many people has BRAC microfinance brought under financial services (directly and indirectly)?",About 10 million people,About 20 million people,About 30 million people,About 40 million people,D,About 40 million people
MF,Microfinance (Dabi),Hard,2,Which of the following is acceptable behaviour under BRAC’s customer service policy?,Ignoring the client if there is a rush,Asking unnecessary personal questions and making the client uncomfortable,"Greeting the client with salaam/adab, inviting them to sit calmly and giving needed support",Scolding clients harshly in front of everyone if they miss an instalment,C,"Greeting the client with salaam/adab, inviting them to sit calmly and giving needed support"
MF,Microfinance (Dabi),Hard,2,Which of the following is clearly prohibited under BRAC microfinance policy?,Collecting savings and instalments in group meetings and updating passbook on the spot,Explaining loan terms again to the client when needed,Referring a case to the branch manager with the client’s consent when needed,Paying a client’s instalment from one’s own pocket and later taking the money from the client,D,Paying a client’s instalment from one’s own pocket and later taking the money from the client
SELP,Social Empowerment and Legal Protection (SELP),easy,1,What is a benefit of preventing child marriage?,Education stops,Opportunity for intellectual development,Increased maternal & child death,Family breakup,b,Opportunity for intellectual development
SELP,Social Empowerment and Legal Protection (SELP),easy,1,What is the legal minimum age for a girl to marry in Bangladesh?,14,16,18,20,c,18
SELP,Social Empowerment and Legal Protection (SELP),easy,1,What is the punishment if someone tries to marry a girl under 18 and a boy under 21?,Only fine,Only imprisonment,"Fine, imprisonment, or both",No punishment,c,"Fine, imprisonment, or both"
SELP,Social Empowerment and Legal Protection (SELP),easy,1,Which does NOT happen as a result of child marriage?,Higher risk of disabled children,Maternal malnutrition & health deterioration,Easier continuation of education,Increased family disputes & divorces,c,Easier continuation of education
SELP,Social Empowerment and Legal Protection (SELP),easy,1,What educational intervention is most effective in preventing child marriage?,Pulling girls out of school,Increasing girls’ access to education,Educating only boys,Ignoring education,b,Increasing girls’ access to education
SELP,Social Empowerment and Legal Protection (SELP),easy,1,"How does the NariShakti AinBondhu app ensure data confidentiality, especially for sensitive GBV data?",Uses encryption and anonymisation,Keeps data openly on servers,Stores only on frontline worker device,User self-delete function only,a,Uses encryption and anonymisation
SELP,Social Empowerment and Legal Protection (SELP),medium,1.5,What is the national emergency number in Bangladesh?,999,108,16430,333,a,999
SELP,Social Empowerment and Legal Protection (SELP),medium,1.5,Which law prohibits dowry in Bangladesh?,"Dowry Prohibition Act, 1980","Child Marriage Restraint Act, 2017","Domestic Violence (Prevention and Protection) Act, 2010","Women and Children (Repression Prevention) Act, 2000",a,"Dowry Prohibition Act, 1980"
SELP,Social Empowerment and Legal Protection (SELP),medium,1.5,What is the primary purpose of the NariShakti AinBondhu app?,For games,To support frontline workers in tackling GBV,To increase social media sharing,For online learning,b,To support frontline workers in tackling GBV
SELP,Social Empowerment and Legal Protection (SELP),medium,1.5,What type of legal support does the NariShakti AinBondhu app provide?,Bank loan related,Guidance on tackling GBV according to local laws,Tax advice,Contract drafting,b,Guidance on tackling GBV according to local laws
SELP,Social Empowerment and Legal Protection (SELP),hard,2,Which legal provision applies to punish child marriage in Bangladesh?,Only Islamic law,Child Marriage Restraint Act 2017,No law,Family counseling,b,Child Marriage Restraint Act 2017
SELP,Social Empowerment and Legal Protection (SELP),hard,2,"According to government data, what is the rate of child marriage in Bangladesh?",about 30% marry before 18,about 41.6% marry before 18,about 60% marry before 18,about 20% marry before 18,b,about 41.6% marry before 18
SELP,Social Empowerment and Legal Protection (SELP),hard,2,"According to Bangladesh’s National Strategy, child marriage is defined as marriage under what age?",16,17,18,21,c,18
SELP,Social Empowerment and Legal Protection (SELP),hard,2,How does the NariShakti AinBondhu app benefit frontline workers?,Helps in fast and accurate data collection and legal decision-making in the field,Finding new friends,Video streaming,Social media posting,a,Helps in fast and accurate data collection and legal decision-making
SELP,Social Empowerment and Legal Protection (SELP),hard,2,Why can the NariShakti AinBondhu app be called “survivor-centered”?,Designed for frontline workers’ convenience,Suitable for children’s games,Safely documents every survivor’s story and ensures legal support,Only generates reports,c,Safely documents every survivor’s story and ensures legal support
SELP,Social Empowerment and Legal Protection (SELP),hard,2,What type of process innovation does NariShakti AinBondhu introduce?,Standardised digital model for documenting and managing GBV cases,Only legal report generation,Manual note-taking by frontline workers,Straight reporting without data analysis,a,Standardised digital model for documenting and managing GBV cases
SELP,Social Empowerment and Legal Protection (SELP),hard,2,How are the legal guidelines provided by the NariShakti AinBondhu app actionable?,Guides user with specific next steps,Only provides legal information,Generates printable reports,Only stores records,a,Guides user with specific next steps
MF,Microfinance (Progoti),easy,1,The Progoti programme is mainly designed for which type of clients?,Large corporate companies,Small and medium entrepreneurs,Only agricultural labourers,School students,B,Small and medium entrepreneurs
MF,Microfinance (Progoti),easy,1,From what amount does a regular Progoti loan usually start?,"20,000 taka","50,000 taka","100,000 taka","500,000 taka",C,"100,000 taka"
MF,Microfinance (Progoti),easy,1,"For a Progoti loan, what is the usual age range for clients?",16–60 years,18–70 years,21–55 years,25–65 years,B,18–70 years
MF,Microfinance (Progoti),easy,1,The “Nirbhorta loan” (Dependence loan) is mainly given to whom?,Rich business owners,Salaried people with limited income to meet family needs,Only people who have returned from abroad,Only school teachers and no one else,B,Salaried people with limited income to meet family needs
MF,Microfinance (Progoti),easy,1,A migration loan is given for which purpose?,To rent a shop in the country,To cover the cost of going abroad for work legally for the first time or again,For marriage expenses,To buy a vehicle,B,To cover the cost of going abroad for work legally for the first time or again
MF,Microfinance (Progoti),easy,1,"If a staff member is very busy, how should they behave with a client?","Shout and say, “Come later”",Insult the client and make them wait,Politely ask the client to wait a bit and give service at a specific time,Pretend not to see the client at all,C,Politely ask the client to wait a bit and give service at a specific time
MF,Microfinance (Progoti),medium,1.5,"For a migration loan, which document is a must?",Only the slip for passport application,Copy of valid visa and related documents,Only a copy of the birth certificate,Only an experience certificate from the previous workplace,B,Copy of valid visa and related documents
MF,Microfinance (Progoti),medium,1.5,"For a remittance loan, what must a client have?",Only photocopies of NID and passport,Proof of legal remittance income and necessary bank documents,Only a copy of land deed,Only a photo of the appointment letter,B,Proof of legal remittance income and necessary bank documents
MF,Microfinance (Progoti),medium,1.5,"To get a Nirbhorta (Dependence) loan, what is the minimum monthly salary required?","8,000 taka or more","12,000 taka or more","15,000 taka or more","20,000 taka or more",C,"15,000 taka or more"
MF,Microfinance (Progoti),medium,1.5,"For a Nirbhorta loan, how long must a client have worked in the same job at minimum?",At least 6 months,At least 1 year,At least 2 years,At least 3 years,B,At least 1 year
MF,Microfinance (Progoti),medium,1.5,"To get a regular or agri-business Progoti loan, what must a client have?",Only a savings account at the post office,An active bank account in the client’s own name,Only a relative’s bank account number,"No bank account, just a cash transaction history",B,An active bank account in the client’s own name
